country,date,CLI_diff,CLI_level,CPI_pct_change,INDPRO_pct_change,LTRATE_diff,LTRATE_level,UNEMP_diff,UNEMP_level,GDP_target,CLI_missing
FRA,1987-10-01,0.0775333333333208,100.3069,1.8390493104645023,124.7127249666931,0.3966666666666665,10.213333333333333,-0.033333333333333215,9.066666666666666,1.474789609,0.0
FRA,1988-01-01,0.1776666666666813,100.48456666666668,1.9107755015240313,-0.9502981076199624,-0.8133333333333326,9.4,-0.16666666666666607,8.9,1.284047198,0.0
FRA,1988-04-01,0.4268999999999892,100.91146666666667,3.9923193165494197,-8.7132227994429,-0.26333333333333364,9.136666666666667,-0.06666666666666643,8.833333333333334,0.875142412,0.0
FRA,1988-07-01,0.7661999999999978,101.67766666666667,3.6323962625452344,-44.51116035884139,-0.0600000000000005,9.076666666666666,-0.033333333333333215,8.8,1.26549596,0.0
FRA,1988-10-01,0.7064000000000021,102.38406666666667,2.4940651478391196,121.64510654610186,-0.34666666666666757,8.729999999999999,0.033333333333333215,8.833333333333334,0.82491291,0.0
FRA,1989-01-01,0.05996666666665362,102.44403333333332,3.4198238107834067,-1.844460264388581,0.1366666666666685,8.866666666666667,-0.10000000000000142,8.733333333333333,1.300850916,0.0
FRA,1989-04-01,-0.3057666666666563,102.13826666666667,4.960284610918864,-2.2467380873039455,-0.08333333333333393,8.783333333333333,-0.033333333333333215,8.7,1.115651642,0.0
FRA,1989-07-01,-0.11873333333332425,102.01953333333334,2.734378377340496,-46.58705215983441,-0.29999999999999893,8.483333333333334,0.0,8.7,1.126736093,0.0
FRA,1989-10-01,-0.04653333333334331,101.973,3.250225023008979,127.50960084593852,0.5099999999999998,8.993333333333334,-0.033333333333333215,8.666666666666666,1.341076098,0.0
FRA,1990-01-01,-0.10846666666667204,101.86453333333333,2.651966635804026,-9.881826541528282,0.836666666666666,9.83,-0.13333333333333286,8.533333333333333,0.21167909,0.0
FRA,1990-04-01,-0.378933333333336,101.48559999999999,3.2016664606757006,-7.520045599085945,-0.21666666666666679,9.613333333333333,-0.09999999999999964,8.433333333333334,0.537258299,0.0
FRA,1990-07-01,-0.8627999999999929,100.6228,3.624480041943001,-35.27048473589398,0.43333333333333357,10.046666666666667,-0.09999999999999964,8.333333333333334,0.649795676,0.0
FRA,1990-10-01,-0.8763733333333334,99.74642666666666,3.9259514408435336,79.5070555182802,0.13000000000000078,10.176666666666668,-0.033333333333333215,8.3,-0.048019879,0.0
